TIPO;ID_FURGON;CAPACIDAD;SPECIAL
S;S1;18;
S;S2;18;
S;S3;23;
S;S4;18;
S;S5;18;
S;S6;18;
S;S7;18;
S;S8;18;
S;S9;18;
S;S10;18;
S;S11;18;
S;S12;23;
S;S13;18;
S;S14;23;
S;S15;20;
S;S16;20;
S;S17;20;
S;S18;18;
S;S19;18;
S;S20;18;
S;S21;23;
S;S22;24;
S;S23;24;
S;S24;18;
S;S25;23;
S;S26;18;
S;S27;23;
S;S28;18;
S;S29;23;
S;S30;18;
S;S31;18;
S;S32;18;
S;S33;18;
S;S34;18;
S;S35;20;
S;S36;23;
S;S37;20;
S;S38;18;
S;S39;18;
S;S41;18;
S;S42;23;
S;S45;18;
S;S46;18;
S;S47;18;
S;S48;18;
S;S49;18;
S;S50;18;
S;S51;18;
S;S52;18;
S;S53;18;
S;S54;18;
S;S55;18;
S;S56;18;
S;S57;18;
S;S58;18;
S;S59;18;
S;S60;18;
S;S61;18;
S;S62;18;
S;S63;18;
S;S64;18;
S;S65;18;
S;S66;18;
S;S67;18;
S;S68;18;
S;S69;23;
S;S70;18;
S;S71;18;
S;S72;18;
S;S73;18;
S;S74;18;
S;S75;18;
S;S76;18;
S;S77;18;
S;S78;18;
S;S79;18;
S;S80;18;
S;S81;18;
S;S82;18;
S;S83;18;
S;S84;18;
S;S85;23;
S;S86;18;
S;S87;18;
S;S88;18;
S;S89;18;
S;S90;18;
S;S91;18;
S;S92;18;
S;S93;18;
S;S94;18;
S;S95;18;
S;S96;18;
S;S97;18;
S;S98;18;
S;S99;18;
S;S100;18;
S;S101;18;
S;S102;18;
S;S103;18;
S;S104;18;
S;S105;18;
S;S106;18;
S;S107;18;
S;S108;23;
S;S109;23;
S;S110;23;
S;S111;23;
S;S112;23;
S;S113;23;
S;S114;23;
S;S115;23;
S;S116;23;
S;S117;23;
S;S118;23;
S;S119;23;
S;S120;23;
S;S121;23;
S;S122;23;
S;S123;23;
S;S125;23;
S;S126;23;
S;S127;23;
S;S128;23;
S;S129;23;
S;S130;23;
S;S131;23;
S;S132;23;
S;S133;23;
S;S134;23;
S;S135;23;
S;S136;23;
S;S137;23;
S;S138;23;
S;S139;23;
S;S140;23;
S;S141;23;
S;S142;23;
S;S143;23;
S;S145;23;
S;S146;23;
S;S147;23;
S;S148;24;
S;S149;24;
S;S150;24;
S;S151;24;
S;S152;24;
S;S153;24;
S;S154;24;
S;S157;24;
S;S158;24;
S;S160;23;
S;S171;23;
S;S172;23;
S;S173;22;
S;S174;22;
S;S175;23;
S;S176;22;
S;S177;24;
S;S178;24;
S;S179;24;
S;S180;24;
S;S181;24;
S;S182;24;
S;S183;24;
S;S186;24;
S;S190;23;
S;S191;23;
S;S192;23;
S;S193;22;
S;S194;23;
S;S195;22;
S;S196;22;
S;S197;22;
S;S198;22;
S;S199;22;
S;S200;22;
S;S201;22;
S;S202;22;
S;S203;22;
S;S204;22;
S;S205;22;
S;S206;22;
S;S207;22;
S;S208;22;
S;S209;22;
S;S210;22;
S;S211;22;
F;F1;14;
F;F2;23;
F;F3;20;
F;F4;23;
F;F5;23;
F;F8;22;
F;F9;23;
F;F10;21;
F;F11;21;
F;F12;22;
F;F14;22;
F;F16;20;
F;F17;16;
F;F18;16;
F;F19;23;
F;F21;21;
F;F22;23;
F;F24;21;
F;F25;18;
F;F26;16;
F;F27;21;
F;F28;18;
F;F29;18;
F;F30;20;
F;F31;23;
F;F32;20;
F;F33;20;
F;F34;20;
F;F35;23;
F;F36;23;
F;F37;21;
F;F38;18;
F;F39;18;
F;F40;20;
F;F41;18;
F;F42;18;
F;F43;18;
F;F44;16;
F;F45;18;
F;F46;18;
F;F47;10;
F;F48;18;
F;F49;23;
F;F50;18;
F;F51;18;
F;F52;18;
F;F53;18;
F;F54;18;
F;F55;23;
F;F56;17;
F;F57;18;
F;F58;23;
F;F59;23;
F;F60;17;
F;F61;17;
F;F62;18;
F;F63;23;
F;F64;23;
F;F65;19;
F;F66;20;
F;F67;21;
F;F68;23;
F;F69;20;
F;F71;18;
F;F72;18;
F;F73;23;
F;F74;18;
F;F75;18;S/F
F;F76;18;
F;F77;18;
F;F78;18;S/F
F;F79;18;
F;F80;23;
F;F81;23;
F;F82;23;
F;F83;23;
F;F84;23;
F;F85;23;
F;F86;23;
F;F87;23;
F;F88;23;
F;F89;23;
F;F91;19;
F;F92;23;
F;F93;23;
F;F94;23;
F;F95;23;
F;F96;21;
F;F97;19;
F;F98;19;
F;F99;23;
F;F100;23;
F;F101;23;
F;F102;23;
F;F103;22;
F;F104;21;
F;F105;21;
F;F106;23;
F;F107;22;
F;F108;19;
F;F109;19;
F;F110;23;
F;F111;23;
F;F112;23;
F;F113;23;
F;F114;23;
F;F115;23;
F;F116;23;
F;F117;23;
F;F118;23;
F;F119;23;
F;F120;21;
F;F121;21;
F;F122;21;
F;F123;21;
F;F124;21;
F;F125;23;
F;F126;21;
F;F127;21;
F;F128;21;
F;F129;21;
F;F130;21;
F;F131;21;
F;F132;21;
F;F133;21;
F;F134;23;
F;F136;23;
F;F137;23;
F;F138;23;
F;F140;23;
F;F141;23;
F;F142;23;
F;F143;23;
F;F144;23;
F;F145;23;
F;F146;21;
F;F147;21;
F;F148;21;
F;F149;21;
F;F150;23;
F;F151;23;
F;F152;23;
F;F153;23;
F;F154;23;
F;F155;23;
F;F156;23;
F;F157;23;
F;F158;23;
F;F159;23;
F;F160;23;
F;F161;23;
F;F162;23;
F;F163;23;
F;F164;23;
F;F165;23;
F;F166;23;
F;F167;23;
F;F168;23;
F;F169;23;
F;F171;19;
F;F172;19;
F;F173;21;
F;F174;21;
F;F175;19;
F;F176;21;
F;F177;21;
F;F178;21;
F;F179;21;
F;F180;21;
F;F181;21;
F;F182;21;
F;F183;19;
F;F184;18;
F;F185;23;
F;F186;23;
F;F187;23;
F;F188;23;
F;F189;23;
F;F190;23;
F;F191;23;
F;F192;23;
F;F193;23;
F;F194;23;
F;F195;23;
F;F196;23;
F;F197;23;
F;F198;14;
F;F199;21;
F;F200;21;
F;F201;21;
F;F202;21;
F;F203;21;
F;F204;21;
F;F205;21;
F;F206;21;
F;F207;21;
F;F208;21;
F;F209;21;
F;F210;21;
F;F211;21;
F;F212;21;
F;F213;21;
F;F214;21;
F;F215;21;
F;F217;21;
F;F218;21;
F;F219;21;
F;F220;21;
F;F221;21;
