ID_UOP	NOM_UOP	NOM_ZONA_SMX	LATITUD	LONGITUD	PRECIO	SUB_ZONA
111	111-SUPERMAXI STO.DOMING	08 - ZONA COSTA NORTE	-0.25244	-79.165571	208	d
146	146-GRAN AKI CAYAMBE	05 - ZONA NORTE	0.040439	-78.145269	187.2	f
147	147-AKI LATACUNGA SUR	02 - ZONA CENTRO	-0.940267	-78.611997	156	h
148	148-AKI LATACUNGA NORTE	02 - ZONA CENTRO	-0.925738	-78.619868	156	h
150	150-AKI RIOBAMBA CENTRO	02 - ZONA CENTRO	-1.673877	-78.650838	306.8	i
151	151-AKI IBARRA CENTRO	05 - ZONA NORTE	0.346652	-78.118731	291.2	f
152	152-AKI AMBATO SUR	02 - ZONA CENTRO	-1.257428	-78.631188	218.4	j
153	153-AKI AZOGUES	04 - ZONA SUR	-2.748856	-78.846757	754	b
155	155-AKI SANTO DOMINGO	08 - ZONA COSTA NORTE	-0.254567	-79.185825	208	d
162	162-AKI GUARANDA	02 - ZONA CENTRO	-1.595363	-79.002157	379.6	j
165	165-GRAN AKI SANTO DOMIN	08 - ZONA COSTA NORTE	-0.245956	-79.173908	208	d
243	243-AKI RIOBAMBA NORTE	02 - ZONA CENTRO	-1.666351	-78.657897	306.8	i
244	244-AKI PUYO	02 - ZONA CENTRO	-1.485688	-78.004383	369.2	j
245	245-SUPER AKI DEL CONDOR	02 - ZONA CENTRO	-1.268473	-78.612152	218.4	j
252	252-SUPERMAXI EL CARACOL	02 - ZONA CENTRO	-1.238639	-78.633949	218.4	j
253	253-GRAN AKI TUNGURAHUA	02 - ZONA CENTRO	-1.232857	-78.618164	218.4	j
256	256-SUPERMAXI RIOBAMBA	02 - ZONA CENTRO	-1.656252	-78.664969	306.8	i
257	257-SUPERMAXI LA MALTERI	02 - ZONA CENTRO	-0.925247	-78.626181	156	h
320	320-SUPERMAXI POLICENTRO	03 - ZONA COSTA CENTRO	-2.170053	-79.900324	686.4	a
322	322-SUPERMAXI ALBAN BORJ	03 - ZONA COSTA CENTRO	-2.168722	-79.915935	686.4	a
