ID_UOP;FRIOS;SECOS;TOTAL;FECHA
111;11;12;23;2018-03-13
146;9;17;26;2018-03-13
148;6;10.25;16.25;2018-03-13
153;0;8;8;2018-03-13
155;6;10;16;2018-03-13
165;9;17;26;2018-03-13
244;0;9;9;2018-03-13
252;11;11;22;2018-03-13
253;8;16;24;2018-03-13
256;12;13;25;2018-03-13
257;8;12;20;2018-03-13
320;21;22;43;2018-03-13
322;26;22;48;2018-03-13
323;17;9;26;2018-03-13
328;15;17;32;2018-03-13
329;8;9;17;2018-03-13
333;12;11.25;23.25;2018-03-13
334;15;14.25;29.25;2018-03-13
337;15;8.25;23.25;2018-03-13
338;6;10.25;16.25;2018-03-13
342;8;7;15;2018-03-13
345;9;10;19;2018-03-13
346;10;13.25;23.25;2018-03-13
348;9;16;25;2018-03-13
349;8;13;21;2018-03-13
350;10;10;20;2018-03-13
351;11;12;23;2018-03-13
352;6;0;6;2018-03-13
354;12;12;24;2018-03-13
355;6;11;17;2018-03-13
357;9;13.25;22.25;2018-03-13
358;24;23.25;47.25;2018-03-13
441;15;15;30;2018-03-13
442;12;13;25;2018-03-13
443;13;16;29;2018-03-13
446;12;17;29;2018-03-13
448;8;14;22;2018-03-13
449;7;11;18;2018-03-13
450;6;0;6;2018-03-13
451;8;13;21;2018-03-13
453;12;11;23;2018-03-13
455;13;11;24;2018-03-13
456;9;10;19;2018-03-13
457;0;12;12;2018-03-13
458;11;10;21;2018-03-13
541;0;13;13;2018-03-13
543;24;2;26;2018-03-13
544;0;1;1;2018-03-13
546;11;15;26;2018-03-13
547;10;12;22;2018-03-13
550;15;12;27;2018-03-13
552;12;19;31;2018-03-13
721;17;48;65;2018-03-13
731;26;22;48;2018-03-13
733;19;31;50;2018-03-13
734;31;23;54;2018-03-13
735;27;20;47;2018-03-13
736;17;27;44;2018-03-13
781;26;19.5;45.5;2018-03-13
803;12;11;23;2018-03-13
805;12;16;28;2018-03-13
806;14;9;23;2018-03-13
807;7;0;7;2018-03-13
809;6;5.25;11.25;2018-03-13
841;8;6.25;14.25;2018-03-13
842;15;13.25;28.25;2018-03-13
843;8;12.25;20.25;2018-03-13
844;9;10.25;19.25;2018-03-13
845;9;18;27;2018-03-13
846;0;11;11;2018-03-13
