AGRUPADOR,CÓDIGO BARRAS,DESCRIPCIÓN ARTICULO,UNIDAD MANEJO,CÓDIGO BARRAS UNIDAD MANEJO,PALLETIZADO,CANTIDAD POR PALLET,ALTO,ANCHO,PROFUNDIDAD,VOLUMEN,PESO,DENSIDAD,RESISTENCIA,CONTAMINANTE,TIPODESPACHO,RECIPIENTE
,60034,DELIGOMIS OSITOS LLANAS,1,,0,50,18,25,32,0.0144,15,1041.666,,,DESPACHO LOCAL ARTICULO,
,60049,SUPERIOR TUYAS GALLETAS,1,7.861E+12,0,28,25,40,50,0.05,10,200,,,DESPACHO LOCAL ARTICULO,
,60050,SUPERIOR JUNGLITAS GALLETAS,1,1.7861E+13,0,200,25,50,50,0.0625,10,160,,,DESPACHO LOCAL ARTICULO,
,60082,ARCOR CARAMELO GAJITOS,1,1.77906E+13,0,55,24,38,42,0.038304,9,234.962,,,DESPACHO LOCAL ARTICULO,
,60083,TROLLI GOMAS SURTIDAS,1,7.86105E+12,0,40,35,40,45,0.063,10,158.73,,,DESPACHO LOCAL ARTICULO,
,60118,DELIGOMIS LLANAS EMPACADAS,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,60122,SUPERIOR TUYAS GALLETAS EMPACADAS,1,,0,25,25,50,50,0.0625,10,160,,,DESPACHO LOCAL ARTICULO,
,60123,SUPERIOR JUNGLITA GALLETA EMPACADA,1,1.7861E+13,0,200,25,50,50,0.0625,10,160,,,DESPACHO LOCAL ARTICULO,
,60129,ARCOR CARAMELO GAJITOS EMPACADOS,1,,0,,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,60130,BOMBON EMPACADO,1,1.78621E+13,0,50,10,25,35,0.00875,5,571.428,,,DESPACHO LOCAL ARTICULO,
,60447,MINI MANICHO,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,60449,MINI MANICHO EMPACADO,1,1.78621E+13,0,50,20,30,40,0.024,6,250,,,DESPACHO LOCAL ARTICULO,
