CODIGOARTICULO;CODIGOCLASIFICACION
1000009;1016
1000013;1138
1000014;1120
1000017;1606
1000037;1016
1000040;1040
1000043;1040
1000054;1124
1000055;1704
1000056;1704
1000057;1704
1000058;1704
1000059;1704
1000060;1704
1000061;1704
1000062;1704
1000063;1704
1000071;1704
1000072;1704
1000073;1704
1000074;1704
1000076;1704
1000078;1704
1000079;1704
1000080;1704
1000082;1704
1000083;1704
1000084;1704
1000085;1704
1000095;1124
1000096;1124
1000097;1124
1000098;1124
1000099;1124
1000100;1124
1000101;1124
1000102;1050
1000103;1124
1000104;1124
1000310;3034
1000351;4118
1000352;3034
1000353;3022
1000395;3046
1000396;1312
1000398;3040
1000399;3040
1000400;3040
1000401;3040
1000402;3018
1000403;3040
1000404;3040
1000405;3018
1000406;1312
1000407;3018
1000408;3018
1000418;4118
1000419;3018
1000420;3018
1000422;4118
1000423;4118
1000442;1138
1000445;1138
1000447;1032
1000451;1606
1000452;1079
1000453;1079
1000454;1079
1000455;1606
1000456;1606
1000458;1702
1000461;1036
1000469;3040
1000471;1036
1000472;1036
1000473;1036
1000474;1036
1000475;1036
1000482;1032
1000483;1079
1000484;1016
1000485;1079
1000486;1606
1000488;1050
1000489;3040
1000490;1050
1000491;1045
1000492;1009
1000492;1009
1000493;1009
1000493;1009
1000496;1067
1000498;1007
1000499;1007
1000500;1087
1000509;1606
1000510;1606
1000516;1040
1000517;1040
1000520;1008
1000521;1606
1000524;1040
1000528;1034
1000534;1034
1000542;1034
1000545;1606
1000549;1606
1000560;1038
1000564;1038
1000590;1034
1000696;1034
1000697;1606
1000698;3102
1000699;1034
1000700;1034
1000701;1034
1000702;3102
1000703;1606
1000704;1606
1000705;1606
1000713;1606
1000714;1606
1000715;1606
1000719;1606
1000720;1606
1000721;1606
1000726;4138
1000727;1016
1000728;4138
1000729;4104
1000730;4162
1000731;4162
1000732;1606
1000733;1068
1000748;4138
1000749;4162
1000838;1120
1000876;1120
1000877;1120
1000882;1040
1000883;1040
1000887;3112
1000888;3112
1000889;3112
1000890;3112
1000891;3112
1000892;1138
1000893;1138
1000894;3032
1000895;1124
1000896;3032
1000899;1124
1000901;1124
1000904;1124
1000920;1124
1000923;1704
1000924;1704
1000925;1704
1000926;4144
1000965;1704
1000966;1704
1000967;1606
1000968;1704
1000969;4138
1000970;1704
1000971;4138
1000972;1704
1000973;4104
1000974;4130
1000975;1704
1000976;1704
1000977;1124
1000978;1704
1000979;1704
1000980;4162
1000981;1704
1000982;1704
1000983;1704
1000984;4162
1000985;1124
1000986;1704
1000987;1704
1000988;1704
1001015;1606
1001016;1606
1001020;1318
1001021;1026
1001022;1026
1001025;1026
1001026;1026
1001027;1606
1001072;1026
1001073;1026
1001077;1120
1001078;1606
1001079;4176
1001080;4176
1001081;4176
1001082;1606
1001090;1060
1001091;1060
1001092;1060
1001093;1084
1001093;1084
1001094;1084
1001095;1084
1001096;1006
1001097;1062
1001098;1076
1001101;1062
1001102;1062
1001103;1074
1001120;1074
1001125;1142
1001126;1118
1001127;1118
1001128;1030
1001129;1114
1001143;1080
1001209;1026
1001211;1026
1001213;1068
1001245;4122
1001246;4122
1001248;4122
1001260;1012
1001261;1606
1001262;1012
1001263;1012
1001264;3028
1001265;1606
1001266;1606
1001267;1606
1001268;1036
1001269;1036
1001270;1012
1001299;1118
1001301;1118
1001312;3106
1001314;3106
1001315;1606
1001316;3106
1001317;4144
1001318;3104
1001319;4144
1001320;1606
1001321;1606
1001322;1606
1001323;4138
1001324;1022
1001325;1606
1001326;4162
1001327;4104
1001328;4162
1001329;4162
1001330;4162
1001331;4138
1001332;4104
1001333;4162
1001334;4138
1001335;4138
1001336;4138
1001366;1028
1001460;4114
1001462;1028
1001464;4114
1001469;1028
1001473;1028
1001475;1028
1001554;1070
1001558;1028
1001559;1028
1001560;1028
1001570;1114
1001573;1072
1001596;1072
1001601;1072
1001609;1072
1001610;1072
1001621;1606
1001667;1072
1001980;1704
1001981;1704
1001983;1606
1001984;1606
1001985;1606
1001992;1704
1002030;1030
1002033;1030
1002035;1606
1002036;1606
1002037;1606
1002038;1606
1002343;1190
1002345;1114
1002346;4122
1002347;1124
1002348;1124
1002349;1124
1002350;1124
1002351;1124
1002356;4122
1002425;1606
1002429;6516
1002439;1606
1002440;1606
1002441;1606
1002442;1040
1002443;1040
1002463;1606
1002487;1040
1002538;1606
1002539;1606
1002540;1056
100261;1604
1002629;1704
1002631;1704
1002633;1704
1002636;1704
1002639;1704
1002643;1704
1002644;1704
1002645;1704
1002646;1704
1002647;1704
1002650;1606
1002651;1704
1002652;1704
1002653;1704
1002654;1704
1002655;1704
1002660;1606
1002661;1606
1002662;1606
1002663;1606
1002664;1606
1002666;1704
1002668;1704
1002669;1704
1002670;1704
1002671;1704
1002672;1704
1002673;1704
1002674;1704
1002676;1704
1002682;1606
1002683;1704
1002684;1704
1002685;1704
1002686;1704
1002687;1334
1002688;1028
1002689;1704
1002690;1028
1002691;1704
1002692;1704
1002700;1606
1002701;1606
1002702;1606
1002703;1606
1002704;1606
1002846;1606
1002849;1114
1002850;1114
100286;1604
1002869;1040
1002872;1040
1002875;1040
1002876;1040
1002883;1040
1002884;1040
1002919;1040
1002920;1040
1002929;1028
1002931;1028
100295;1604
100296;1604
100296;1604
1002967;1028
1003191;1606
1003192;1006
1003193;1076
1003194;1016
1003195;1606
1003204;1606
1003481;3108
1003483;1606
1003594;1025
1003595;1025
1003596;1025
1003597;1025
1003598;1025
1003599;1025
1003600;1025
1003601;1606
1003602;1606
1003603;1606
1003604;1606
1003605;1606
1003606;1606
1003607;1606
1003608;1606
1003609;1606
1003610;1016
1003611;1016
1003612;1016
1003613;1016
1003614;1016
1003620;3040
1003621;3034
1003622;1122
1003624;1122
1003625;1122
1003626;1122
1003627;1606
1003629;1048
1003630;1048
1003632;1116
1003635;1040
1003664;1606
1003691;1316
1003693;1606
1003756;1606
1003757;1606
1003761;1606
1003767;1606
1003815;1606
1003846;1606
1003850;1040
1003859;1606
1003870;1032
1003871;1606
1003872;1606
1003873;1606
1003874;1704
1003879;1704
1003880;1606
1003881;1704
1003882;1072
1003884;1704
1003885;1016
1003886;1704
1003887;1704
1003888;1704
1003889;1704
1003890;1704
1003891;1704
1003892;1704
1003893;1704
1003894;1604
1003895;1704
1003896;1704
1003897;1604
1003898;1604
1003899;1604
1003900;1704
1003901;1704
1003902;1704
1003903;1704
1003904;1704
1003905;1704
1003906;1704
1003910;1072
1003912;1036
1003913;3023
1003914;1606
1003921;1704
1003922;1704
1003923;1704
1003925;1606
1003926;1606
1003930;1338
1004008;1704
1004011;1704
1004013;1704
1004014;1606
1004015;1704
1004017;1704
1004018;1704
1004019;1704
1004126;1122
1004157;1606
1004644;3102
1004645;3102
1004683;1606
1004684;1606
1004685;1606
1004686;1606
1004687;1074
1004688;1074
1004689;1068
1004690;1078
1004691;1078
1004692;1078
1004693;1078
1004694;1026
1004741;4144
1004742;4144
1004744;4144
1004745;4144
1004747;1606
1004748;1606
1004754;1606
1004756;1606
1004757;3015
1004758;1606
1004913;1606
1005582;1148
1005583;1148
1005584;1148
1005585;1148
1005586;1148
1005587;1148
1005588;1142
1005589;1142
1005590;1142
1005591;1142
1005592;1118
1005593;1118
1005594;1118
1005595;1606
1005596;1118
1005597;1142
1005598;1142
1005599;1606
1005601;3110
1005609;1606
1005610;1606
1005619;1606
1005620;1606
1005822;1118
1005824;1606
1005825;1606
1005827;1118
1005908;4138
1005916;1606
